City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
485,kota kinabalu,75,MY,1566618939,66,5.98,116.07,89.6,6.93
486,umm kaddadah,76,SD,1566618939,72,13.6,26.69,76.57,11.07
487,ugoofaaru,97,MV,1566618939,75,5.67,73.0,82.21,9.93
488,pullman,1,US,1566618940,36,46.73,-117.17,82.4,3.36
489,pokhara,100,NP,1566618940,89,28.21,83.99,58.59,2.24
490,zhangjiakou,0,CN,1566618940,48,40.77,114.88,67.63,4.65
491,valley city,1,US,1566618941,82,46.92,-98.0,68.0,12.75
492,yoichi,75,JP,1566618941,78,43.19,140.77,73.99,16.11
493,soyo,100,AO,1566618941,86,-6.13,12.37,72.47,9.84
494,sitka,58,US,1566618941,91,37.17,-99.65,70.0,5.99
495,makokou,100,GA,1566618942,97,0.56,12.85,68.35,3.4
496,cap-chat,87,CA,1566618943,85,49.1,-66.68,56.56,22.77
497,jackson,1,US,1566618785,59,43.48,-110.76,62.01,2.51
498,ajdabiya,0,LY,1566618943,77,30.75,20.22,76.74,14.38
499,coruripe,13,BR,1566618944,95,-10.12,-36.18,65.65,2.35
500,arman,97,RU,1566618944,77,59.7,150.17,56.11,6.29
501,nacala,100,MZ,1566618945,81,-14.56,40.69,69.41,10.22
502,vestmannaeyjar,100,IS,1566618945,89,63.44,-20.27,50.96,6.13
503,namie,75,JP,1566618945,65,37.52,140.86,84.99,6.93
504,brigantine,75,US,1566618945,88,39.41,-74.36,70.0,3.36
505,ishigaki,75,JP,1566618946,84,24.34,124.16,86.0,19.46
506,mayumba,38,GA,1566618946,90,-3.44,10.65,72.99,7.76
507,jardim,0,BR,1566618946,48,-21.48,-56.15,63.69,3.42
508,puerto del rosario,54,ES,1566618946,60,28.5,-13.86,75.2,8.05
509,channagiri,100,IN,1566618946,86,14.03,75.92,72.25,8.37
510,mombasa,75,KE,1566618947,88,-4.05,39.67,75.2,6.93
511,dire,75,ET,1566618947,87,9.18,38.92,55.4,5.82
512,cartagena del chaira,51,CO,1566618947,84,1.33,-74.84,71.82,2.33
513,hokitika,13,NZ,1566618947,67,-42.72,170.96,52.27,16.31
514,tomatlan,74,MX,1566618947,76,19.93,-105.25,82.12,9.26
515,abeche,100,TD,1566618948,81,13.83,20.83,75.82,2.1
516,half moon bay,5,US,1566618948,77,37.46,-122.43,68.0,5.82
517,khani,40,GE,1566618948,94,41.96,42.96,69.8,2.24
518,algiers,1,US,1566618948,94,29.94,-90.04,82.99,4.27
519,skjervoy,100,NO,1566618948,79,70.03,20.97,45.88,11.83
520,vagur,100,FO,1566618949,96,61.47,-6.81,52.42,28.9
521,ukiah,1,US,1566618761,37,39.15,-123.21,82.4,6.93
522,tornio,90,FI,1566618949,93,61.12,27.27,54.0,8.05
523,sri aman,75,MY,1566618949,74,1.24,111.46,86.0,3.36
524,hasaki,75,JP,1566618949,78,35.73,140.83,88.0,8.05
525,kadarkut,100,HU,1566618950,93,46.24,17.62,66.2,3.36
526,the valley,40,AI,1566618950,78,18.22,-63.06,82.4,8.05
527,bafoulabe,75,ML,1566618950,91,13.81,-10.83,74.54,10.27
528,marawi,100,PH,1566618950,73,8.0,124.29,86.0,4.0
529,maceio,40,BR,1566618848,94,-9.67,-35.74,69.8,3.36
530,nerchinskiy zavod,57,RU,1566618951,48,51.31,119.61,73.78,2.37
531,radcliff,75,US,1566618951,82,37.84,-85.95,68.0,6.93
532,pavlovsk,0,RU,1566618951,68,53.31,82.99,64.4,4.47
533,port moresby,75,PG,1566618821,66,-9.47,147.16,84.2,23.04
534,neuquen,0,AR,1566618951,76,-38.95,-68.06,50.0,3.36
535,klaksvik,100,FO,1566618951,100,62.23,-6.59,53.6,16.11
536,mugur-aksy,82,RU,1566618952,69,50.38,90.44,35.52,8.32
537,helong,24,CN,1566618952,52,25.94,116.13,92.14,9.57
538,kijang,0,KR,1566618780,48,35.24,129.21,82.4,8.05
539,ilam,0,IR,1566618952,16,33.64,46.42,75.2,6.93
540,chumikan,97,RU,1566618952,84,54.72,135.31,54.78,5.68
541,auki,37,NG,1566618953,92,12.18,6.51,70.67,11.65
542,poum,0,MK,1566618953,68,41.28,20.71,64.4,2.24
543,kabanjahe,98,ID,1566618953,42,3.1,98.49,88.0,1.61
544,moindou,75,NC,1566618953,49,-21.69,165.68,71.6,17.22
545,bilibino,41,RU,1566618954,35,68.06,166.44,59.82,8.95
546,saint-francois,53,FR,1566618954,100,46.42,3.91,50.0,2.24
547,brae,81,GB,1566618954,87,60.4,-1.35,59.0,19.46
548,rudnogorsk,100,RU,1566618954,78,57.27,103.75,63.25,3.76
549,alta floresta,39,BR,1566618955,30,-9.87,-56.08,78.36,1.03
550,aksu,0,KZ,1566618955,63,52.04,76.93,66.2,6.71
551,buchanan,75,LR,1566618955,94,5.88,-10.05,75.2,10.98
552,kaniama,0,CD,1566618956,32,-7.57,24.18,63.38,5.14
553,pogranichnyy,100,RU,1566618956,97,44.41,131.38,57.6,2.35
554,yatou,75,CM,1566618956,100,3.63,9.81,75.2,4.7
555,fairbanks,90,US,1566618766,87,64.84,-147.72,53.6,8.05
556,ixtapa,75,MX,1566618957,45,20.71,-105.21,87.8,2.24
557,xining,100,CN,1566618957,88,36.62,101.77,52.31,1.52
558,estevan,90,CA,1566618958,100,49.14,-102.99,72.0,10.29
